Draft Projection
NA
NA
NA
Fozzy Whittaker
NA
NA
NA
NA
NA
NA
Branden Oliver
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
Tyler Polumbus
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
James Casey
NA
NA
NA
NA
Julius Peppers
Bo Jackson
Darren Woodson
Fletcher Cox
Chandler Jones
Edgerrin James
Reggie Nelson
Julius Thomas
Marcus Peters
Vontae Davis
Justin Smith
Matthew Stafford
Bobby Wagner
Ezekiel Ansah
Greg Olsen
Ryan Shazier
Marcus Mariota
Plaxico Burress
Nick Perry
Cedric Ogbuehi
Aaron Donald
Eric Decker
Connor Barwin
Jimmy Smith
Thomas Jones
Zach Martin
Tamba Hali
Eric Weddle
Joe Staley
Ereck Flowers
DeSean Jackson
Tracy Porter
Leonard Floyd
Aqib Talib
Alec Ogletree
Shaq Thompson
Jordan Reed
Quincy Enunwa
Tiki Barber
Le'Veon Bell
Darius Slay
Ahmad Brooks
Bob Sanders
Zach Miller
Joe Barksdale
Daryl Worley
Travis Frederick
Karl Joseph
Devin Funchess
Johnathan Joseph
Jack Mewhort
Mike Mitchell
Steve McNair
Jay Cutler
Glover Quin
Derek Carr
Anquan Boldin
NA
Dre Kirkpatrick
Paul Kruger
Travis Benjamin
Vincent Ray
Prince Amukamara
Trent Brown
Clint Boling
Justin Hunter
Jonathan Stewart
Jared Veldheer
Corey Coleman
NA
Allen Hurns
Ziggy Hood
Aaron Williams
Grady Jarrett
NA
Jordan Phillips
Jairus Byrd
Jarvis Landry
Owamagbe Odighizuwa
Adam Jones
George Iloka
Zach Fulton
Sheldon Rankins
Brandon Linder
Marvin Jones
Josh Huff
Vance McDonald
Larry Donnell
B.W. Webb
Stefon Diggs
Kyle Emanuel
Tre' Boston
Patrick Robinson
Jared Crick
Jay Bromley
Jeremiah Poutasi
NA
Benardrick McKinney
Daryl Williams
Eli Harold
Vince Mayle
Gary Brackett
Quinton Spain
Mohamed Sanu
Arrelious Benn
Jason Jones
Kam Chancellor
Quinton Patton
NA
NA
NA
Olandis Gary
NA
Morgan Moses
Joel Heath
Cody Kessler
NA
Damian Swann
Margus Hunt
Kellen Davis
Tavon Young
Denard Robinson
"Mason Foster
"
Devontae Booker
Darqueze Dennard
Pernell McPhee
Michael Turner
Corey Liuget
Rashad Greene
Chris Kemoeatu
NA
Dan Williams
Brandon Williams
Ahtyba Rubin
Clinton McDonald
Mario Edwards
Kiko Alonso
Sylvester Williams
Jeremy Lane
Arthur Moats
Tavarres King
Anthony Fasano
Shaquille Riddick
Brian Quick
Darren Sproles
Chris Harper
NA
T.J. Duckett
NA
NA
NA
Nick Vigil
NA
Tavon Young
Alvin Bailey
NA
Khiry Robinson
Marshall Newhouse
Matt Ioannidis
Khyri Thornton
Jordan Taylor
Ladarius Gunter
NA
Chris Borland
Jaelen Strong
Round 4
NA
NA
Tashaun Gipson
Andy Dalton
Charles Clay
Anthony Brown
NA
Bobby Hart
John Timu
Hugh Thornton
Robert Ayers
NA
Corey Linsley
NA
James Harrison
NA
NA
NA
NA
Lawrence Guy
NA
Jace Amaro
NA
Vadal Alexander
NA
Rakeem Nunez-Roches
Delanie Walker
Anthony Chickillo
Tre McBride
NA
NA
Jerick McKinnon
Malliciah Goodman
NA
NA
Frank Zombo
Patrick Lewis
Rashard Higgins
NA
NA
Paul Richardson
NA
NA
Peyton Barber
LaAdrian Waddle
Wesley Johnson
NA
NA
NA
Chris Conley
Shiloh Keo
Dustin Hopkins
NA
Branden Oliver
Mychal Rivera
NA
Allen Barbre
NA
NA
NA
Akeem Hunt
NA
NA
NA
Vaitai Halapoulivaati
NA
Tyler Ervin
NA
NA
NA
NA
Tyler Starr
Justin Hunter
NA
David Anderson
NA
Jermey Parnell
Brock Osweiler
Ty Sambrailo
NA
NA
Stepfan Taylor
NA
Moritz Boehringer
NA
NA
Martin Ifedi
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
Mark Nzeocha
NA
NA
NA
NA
NA
NA
NA
NA
NA
Pace Murphy
NA
Logan Paulsen
NA
NA
Alex Collins
NA
NA
NA
NA
Deon Simon
NA
NA
NA
NA
Jamon Meredith
Dominique Alexander
NA
NA
NA
Tom Savage
NA
NA
Jared Norris
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
Kellen Moore
NA
NA
NA
Marcus Murphy
NA
Zac Dysert
NA
NA
NA
NA
NA
NA
